#      Train        Test
       0.128         0.26 
       0.241         0.29 
       0.367         0.42 
       0.479         0.52 
       0.593         0.62 
       0.657         0.63 
       0.725         0.68 
       0.767         0.74 
       0.772         0.73 
       0.809         0.74 
       0.841         0.78 
       0.859         0.79 
       0.848         0.78 
       0.883          0.8 
       0.895         0.84 
       0.904         0.84 
       0.905          0.8 
       0.882         0.79 
       0.901         0.82 
       0.919         0.84 
        0.93         0.83 
       0.941         0.86 
       0.947         0.77 
       0.896         0.76 
        0.93         0.84 
        0.92         0.88 
       0.942         0.85 
       0.937         0.83 
       0.945         0.86 
       0.939         0.83 
       0.962         0.87 
       0.966         0.84 
        0.97         0.85 
        0.97         0.87 
       0.973         0.88 
       0.974         0.86 
       0.973         0.85 
       0.975         0.85 
       0.982         0.87 
       0.979         0.86 
       0.981         0.86 
       0.986         0.86 
       0.986         0.86 
       0.986         0.86 
       0.989         0.88 
       0.988         0.88 
       0.991         0.89 
       0.984         0.88 
        0.98         0.87 
       0.983         0.87 
       0.988         0.87 
       0.938         0.86 
       0.975         0.89 
       0.988          0.9 
       0.991         0.88 
       0.994         0.89 
       0.996         0.88 
       0.976         0.85 
       0.984         0.91 
       0.993          0.9 
       0.995         0.88 
       0.999         0.91 
       0.998         0.89 
       0.998         0.89 
       0.999          0.9 
       0.999         0.91 
       0.999         0.91 
       0.999          0.9 
       0.997         0.91 
       0.998         0.93 
       0.999         0.91 
       0.999         0.93 
       0.999         0.93 
       0.998         0.92 
       0.999         0.92 
       0.999         0.91 
       0.999         0.92 
       0.999         0.92 
       0.999         0.91 
       0.999         0.93 
       0.999         0.94 
       0.999         0.94 
       0.999         0.91 
       0.999         0.93 
       0.999          0.9 
       0.999         0.92 
       0.999         0.92 
       0.999         0.92 
       0.999         0.94 
       0.999         0.94 
           1         0.92 
           1         0.92 
           1         0.92 
           1         0.93 
           1         0.93 
           1         0.92 
       0.982         0.85 
       0.999          0.9 
       0.999         0.93 
       0.999         0.91 
