#      Train        Test
     8497.04      12214.8 
     5156.13      6.41538 
     818.158       5.4968 
     815.974      4.45712 
     819.123       3.9664 
     804.616      3.56305 
     2.52635      3.20285 
     2.26321       3.0036 
     410.216      2.94427 
     1.99662      2.79172 
     1.82759      2.63967 
     1.70781      2.56417 
     819.216      2.71088 
     1.59451      2.57858 
     1.49328      2.46113 
     1.42373      2.38385 
     412.117      2.49132 
     412.187      2.50573 
     1.39334      2.37588 
     1.27053      2.27315 
     1.20643      2.23683 
     1.15295       2.2099 
     400.359      2.49883 
     811.472      2.76185 
     811.343      2.69313 
     1.37303       2.3821 
     1.16768      2.29353 
       402.4      2.36835 
     1.13687      2.25047 
     410.583       2.3622 
     1.03635      2.20857 
    0.984725      2.21155 
    0.938732      2.15442 
    0.902025      2.13617 
    0.870245      2.07977 
    0.840592      2.06278 
    0.815123      2.04085 
     0.79454      2.00707 
     0.77387      1.96463 
     407.286      2.12353 
    0.771455      3973.05 
    0.730925      4081.69 
    0.713003      4066.55 
    0.695318      1.97298 
    0.671318      1.92392 
    0.657992      1.94372 
    0.641533      1.89028 
      408.68      2.08752 
    0.750568      2.06233 
    0.696547       2.0034 
     0.65826       1.9424 
     411.755      2.09367 
       0.828        1.924 
    0.649708      1.88855 
    0.616732      1.87533 
    0.594645      1.90048 
    0.573972       1.9196 
     401.938      2.11722 
    0.725395      1.93232 
    0.602982      1.90787 
    0.557408      1.84967 
    0.536848      1.82265 
    0.519205      1.81735 
    0.508942      1.80223 
    0.493815      1.76783 
    0.478595      1.77045 
    0.472095      1.76437 
    0.460478      1.77943 
    0.449472      1.76557 
     0.44163      1.75427 
    0.434858      1.73417 
    0.425388      1.73303 
    0.416268      1.74273 
    0.410617      1.73665 
     0.40194      1.73232 
    0.395775      1.70052 
    0.387925      1.68292 
    0.385728      1.68532 
    0.377768       1.6835 
    0.372847      1.66118 
    0.367172       1.6442 
     405.272      1.76347 
     0.39942      1.72755 
     0.37438       1.7116 
    0.361735      1.69178 
    0.350803      1.69092 
    0.344448       1.6664 
    0.334243      1.69177 
    0.330895      1.67225 
    0.322608      1.65908 
    0.318943      1.62053 
     0.31232      1.58583 
    0.311293      1.60218 
    0.305425      1.62658 
    0.299497      1.63093 
    0.296992      1.61842 
     384.219      3949.96 
    0.429467      3949.71 
    0.356325      3839.23 
    0.329355      1.73718 
